Serial No,Shop ID,Shop Name,GSTIN,PAN,State Code,State Name,Category,Verification Status,Registered At
1,"IND_SHOP_01_01","Srinagar Pashmina & Woolen Crafts","01ABCDE2345K1Z2","ABCDE2345K","01","Jammu & Kashmir","Apparel & Handicrafts","VERIFIED_RETAILER","2026-09-12 07:48:14"
2,"IND_SHOP_02_01","Shimla Apple Valley Agro Hub","02BCDEF3456L1Z4","BCDEF3456L","02","Himachal Pradesh","Agro & Food Processing","VERIFIED_RETAILER","2026-09-12 07:48:14"
3,"IND_SHOP_03_33","Amritsar Food Delights","03VWXYZ2345C1Z1","VWXYZ2345C","03","Punjab","Food & Confectionery","VERIFIED_RETAILER","2026-09-09 01:00:29"
4,"IND_SHOP_03_32","Ludhiana Hosiery Hub","03UVWXY1234B1ZE","UVWXY1234B","03","Punjab","Winterwear & Apparel","VERIFIED_RETAILER","2026-09-09 01:00:29"
5,"IND_SHOP_04_01","Chandigarh Digital Retail Plaza","04CDEFG4567M1Z6","CDEFG4567M","04","Chandigarh","Electronics & Gadgets","VERIFIED_RETAILER","2026-09-12 07:48:14"
6,"IND_SHOP_05_01","Dehradun Himalayan Organics","05DEFGH5678N1Z8","DEFGH5678N","05","Uttarakhand","Organic Foods & Wellness","VERIFIED_RETAILER","2026-09-12 07:48:14"
7,"IND_SHOP_06_34","Gurugram Smart Logistics","06WXYZA3456D1ZF","WXYZA3456D","06","Haryana","Logistics & Hardware","VERIFIED_RETAILER","2026-09-09 01:00:29"
8,"IND_SHOP_06_35","Panipat Textile Mills","06XYZAB4567E1Z9","XYZAB4567E","06","Haryana","Home Textiles & Carpets","VERIFIED_RETAILER","2026-09-09 01:00:29"
9,"IND_SHOP_07_05","Capital Fashion Connaught","07EFGHI5678J1Z8","EFGHI5678J","07","Delhi NCR","Apparel","VERIFIED_RETAILER","2026-09-09 00:22:38"
10,"IND_SHOP_07_07","Capital Fashion Connaught","07EFGHI5678J1Z4","EFGHI5678J","07","Delhi NCR","Apparel & Footwear","VERIFIED_RETAILER","2026-09-09 01:00:29"
11,"IND_SHOP_07_06","Delhi Wholesale Hub","07FGHIJ6789K1ZF","FGHIJ6789K","07","Delhi NCR","FMCG","VERIFIED_RETAILER","2026-09-09 00:22:38"
12,"IND_SHOP_07_08","Delhi Wholesale Hub","07FGHIJ6789K1ZA","FGHIJ6789K","07","Delhi NCR","FMCG Wholesale","VERIFIED_RETAILER","2026-09-09 01:00:29"
13,"IND_SHOP_07_09","Okhla Industrial Supplies","07GHIJK7890M1Z7","GHIJK7890M","07","Delhi NCR","Industrial Supplies","VERIFIED_RETAILER","2026-09-09 01:00:29"
14,"IND_SHOP_1001","Razorpay Live Merchant Hub","07LIVEPAY1001Z5","LIVEPAY100","07","Delhi NCR","Digital Retail","VERIFIED_RETAILER","2026-09-12 05:50:57"
